decile_income,mean,sd,cv
1,73.8986709780274,2.72594190473402,3.68875633168631
2,75.4792703513885,2.53644619493597,3.36045404669087
3,76.631098927183,2.28658287783703,2.98388371020205
4,77.4681018461456,2.039766141689,2.63304004239068
5,78.2479299137615,1.94660589710125,2.48774108049457
6,78.8508342449987,1.68189614094327,2.1330099510646
7,79.62286245768,1.53292084814687,1.92522700243492
8,80.3191405749051,1.33321834739058,1.65990116160073
9,81.1001190325497,1.15663607904384,1.42618296106276
10,82.0993101080035,1.07359709417849,1.30768101798438
