cbsa,cbsa_name,Region_Name,rank,total_dif,total_ratio,cv,gini,dif,ratio,sii,rii
32820,"Memphis, TN-MS-AR",South,1,10.7,1.15,21.4%,3.04,10.6,1.15,1.20,0.016
17140,"Cincinnati, OH-KY-IN",Midwest,2,10.2,1.14,21.9%,2.97,11.6,1.16,1.23,0.016
31140,"Louisville/Jefferson County, KY-IN",South,3,10.7,1.15,21.3%,2.96,11.4,1.16,1.18,0.015
12580,"Baltimore-Columbia-Towson, MD",South,4,10.3,1.14,21.9%,2.91,11.8,1.17,1.16,0.015
13820,"Birmingham-Hoover, AL",South,5,10.3,1.15,22.0%,3.06,10.5,1.15,1.14,0.015
26900,"Indianapolis-Carmel-Anderson, IN",Midwest,6, 9.9,1.14,21.0%,2.90,11.5,1.16,1.22,0.016
18140,"Columbus, OH",Midwest,7, 9.7,1.13,21.5%,2.92,11.0,1.16,1.21,0.016
19820,"Detroit-Warren-Dearborn, MI",Midwest,8,10.7,1.15,21.7%,3.01, 9.8,1.14,1.16,0.015
41180,"St. Louis, MO-IL",Midwest,9, 9.5,1.13,19.0%,2.77,10.9,1.15,1.15,0.015
17460,"Cleveland-Elyria, OH",Midwest,10,10.0,1.14,18.5%,2.74,10.4,1.14,1.16,0.015
27260,"Jacksonville, FL",South,11, 9.5,1.13,18.9%,2.77,10.7,1.15,1.04,0.013
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",South,12,10.0,1.14,17.8%,2.70,10.2,1.14,1.02,0.013
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Northeast,13, 9.9,1.14,19.7%,2.82,10.0,1.14,1.00,0.013
35380,"New Orleans-Metairie, LA",South,14,9.1,1.13,17.5%,2.69,10.3,1.15,1.08,0.014
28140,"Kansas City, MO-KS",Midwest,15,9.2,1.13,17.7%,2.64,10.0,1.14,1.12,0.014
40060,"Richmond, VA",South,16,9.4,1.13,17.9%,2.66,9.4,1.13,1.07,0.014
36420,"Oklahoma City, OK",South,17,9.2,1.13,17.7%,2.73, 9.6,1.13,0.95,0.012
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Northeast,18,9.0,1.12,17.9%,2.61,9.4,1.13,1.09,0.014
38300,"Pittsburgh, PA",Northeast,19,8.5,1.12,15.0%,2.41,10.0,1.14,0.95,0.012
