cbsa_name,Region_Name,rank,total_dif,uci,lci,cbsa_name,Region_Name,rank,total_ratio,uci,lci
"Memphis, TN-MS-AR",South,1,11.6,12.5611727434166,10.6051725216282,"Memphis, TN-MS-AR",South,1,1.16,1.18005627947907,1.15029364782062
"Detroit-Warren-Dearborn, MI",Midwest,2,11.5,11.9194296532326,11.0967647761075,"Detroit-Warren-Dearborn, MI",Midwest,2,1.16,1.16802192782246,1.15551505986816
"Baltimore-Columbia-Towson, MD",South,3,11.3,11.9137855622248,10.6954466268853,"Birmingham-Hoover, AL",South,3,1.16,1.17431459067284,1.14786570417107
"Birmingham-Hoover, AL",South,4,11.3,12.1161838964498,10.3753867179694,"Baltimore-Columbia-Towson, MD",South,4,1.16,1.16680175231092,1.14846575281019
"Milwaukee-Waukesha-West Allis, WI",Midwest,5,11.2,12.0156075698535,10.3426851396999,"Louisville/Jefferson County, KY-IN",South,5,1.16,1.17145637740362,1.14523174389872
"Louisville/Jefferson County, KY-IN",South,6,11.2,12.1052870018254,10.365349564874,"Cincinnati, OH-KY-IN",Midwest,6,1.15,1.16496017726101,1.1433237830585
"Cincinnati, OH-KY-IN",Midwest,7,11.1,11.7887609467443,10.3202413832577,"Columbus, OH",Midwest,7,1.15,1.16513374677617,1.1425298130309
"Columbus, OH",Midwest,8,11.1,11.8260562826398,10.3032924913911,"Milwaukee-Waukesha-West Allis, WI",Midwest,8,1.15,1.1658250142285,1.14113171194875
"Indianapolis-Carmel-Anderson, IN",Midwest,9,10.9,11.7521657757415,10.1076983308723,"Indianapolis-Carmel-Anderson, IN",Midwest,9,1.15,1.16445664637476,1.14052353506986
"Miami-Fort Lauderdale-West Palm Beach, FL",South,10,10.9,11.3422042915356,10.3485321431959,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Northeast,10,1.15,1.15548455821985,1.14394498225136
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Northeast,11,10.9,11.2459429150776,10.4624101822453,"Cleveland-Elyria, OH",Midwest,11,1.15,1.15587103886752,1.13840963283067
"St. Louis, MO-IL",Midwest,12,10.6,11.1946627805954,10.0276439470028,"Jacksonville, FL",South,12,1.15,1.16394498021276,1.13268262394989
"Cleveland-Elyria, OH",Midwest,13,10.6,11.1970330674031,10.0090807571357,"St. Louis, MO-IL",Midwest,13,1.15,1.15524424940569,1.13803672213626
"Jacksonville, FL",South,14,10.6,11.7316694126813,9.58590646201416,"Nashville-Davidson--Murfreesboro--Franklin, TN",South,14,1.15,1.15934774832212,1.13467913049126
"Nashville-Davidson--Murfreesboro--Franklin, TN",South,15,10.5,11.4149307544211,9.73191053480534,"Miami-Fort Lauderdale-West Palm Beach, FL",South,15,1.15,1.152162939909,1.13799543847292
"Rochester, NY",Northeast,16,10.5,11.4931978725471,9.5340658965955,"New Orleans-Metairie, LA",South,16,1.15,1.15779192758483,1.13357116262393
"Chicago-Naperville-Elgin, IL-IN-WI",Midwest,17,10.4,10.7323199273099,10.0065452966349,"Oklahoma City, OK",South,17,1.14,1.15783611938783,1.13378173757277
"New Orleans-Metairie, LA",South,18,10.4,11.1998931276156,9.56503850718387,"Chicago-Naperville-Elgin, IL-IN-WI",Midwest,18,1.14,1.14612269212985,1.13557435351533
"Oklahoma City, OK",South,19,10.3,11.1830524564273,9.59291268049729,"Rochester, NY",Northeast,19,1.14,1.15444837370586,1.12673939436951
"Washington-Arlington-Alexandria, DC-VA-MD-WV",South,20,10.3,10.8152709333467,9.84356343110086,"Buffalo-Cheektowaga-Niagara Falls, NY",Northeast,20,1.14,1.15367458207083,1.12689044047155
"Kansas City, MO-KS",Midwest,21,10.2,10.8445582807294,9.56622305056868,"Charlotte-Concord-Gastonia, NC-SC",South,21,1.14,1.14909706901569,1.13134203329691
"Charlotte-Concord-Gastonia, NC-SC",South,22,10.2,10.8346935602098,9.5767099679889,"Kansas City, MO-KS",Midwest,22,1.14,1.14926570350619,1.13078178764376
"Buffalo-Cheektowaga-Niagara Falls, NY",Northeast,23,10.2,11.0900139028917,9.29817643575237,"Richmond, VA",South,23,1.14,1.15291731034351,1.12538331886485
"Richmond, VA",South,24,10.1,11.1007283492108,9.1594390865041,"Tampa-St. Petersburg-Clearwater, FL",South,24,1.14,1.1455707965593,1.12862494894828
"New York-Newark-Jersey City, NY-NJ-PA",Northeast,25, 9.9,10.1845501610337,9.69921414767448,"Washington-Arlington-Alexandria, DC-VA-MD-WV",South,25,1.14,1.14312511311971,1.12953535372593
"Tampa-St. Petersburg-Clearwater, FL",South,26, 9.9,10.5294048826253,9.37524461793567,"Virginia Beach-Norfolk-Newport News, VA-NC",South,26,1.14,1.14672705834565,1.12495136398108
"San Francisco-Oakland-Hayward, CA",West,27, 9.9,10.4343134875504,9.42816808876586,"New York-Newark-Jersey City, NY-NJ-PA",Northeast,27,1.13,1.13443974488496,1.12773883557084
"Virginia Beach-Norfolk-Newport News, VA-NC",South,28, 9.8,10.5653315571838,9.09226029460925,"Denver-Aurora-Lakewood, CO",West,28,1.13,1.14030774460106,1.12082905698552
"Denver-Aurora-Lakewood, CO",West,29, 9.7,10.4256010845967,9.0523776010157,"Houston-The Woodlands-Sugar Land, TX",South,29,1.13,1.13851840647196,1.12286736337757
"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest,30, 9.6,10.2487196837749,9.00383658580065,"Las Vegas-Henderson-Paradise, NV",West,30,1.13,1.14146489976654,1.1196635398862
"Houston-The Woodlands-Sugar Land, TX",South,31, 9.6,10.1782543791611,9.06460136465216,"San Francisco-Oakland-Hayward, CA",West,31,1.13,1.13661994933462,1.12272886804772
"Los Angeles-Long Beach-Anaheim, CA",West,32, 9.5,9.79372497599338,9.18599645399169,"Atlanta-Sandy Springs-Roswell, GA",South,32,1.13,1.13604891872585,1.12161490103786
"Seattle-Tacoma-Bellevue, WA",West,33, 9.5,10.0348981666553,8.88243277267343,"Pittsburgh, PA",Northeast,33,1.13,1.13531647177503,1.12009590557657
"Las Vegas-Henderson-Paradise, NV",West,34, 9.5,10.2810743970126,8.75248338814551,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest,34,1.13,1.13524056757897,1.11812343939234
"Orlando-Kissimmee-Sanford, FL",South,35, 9.5,10.4592207791699,8.51483897083283,"Orlando-Kissimmee-Sanford, FL",South,35,1.13,1.140529385723,1.11345186046129
"Atlanta-Sandy Springs-Roswell, GA",South,36, 9.4,9.9526733700869,8.94118827649698,"Riverside-San Bernardino-Ontario, CA",West,36,1.13,1.13369306416387,1.11885461112297
"Riverside-San Bernardino-Ontario, CA",West,37, 9.4,9.90271237638481,8.85320836487604,"Phoenix-Mesa-Scottsdale, AZ",West,37,1.13,1.13312453252418,1.11771093191363
"Pittsburgh, PA",Northeast,38, 9.3,9.85495977494437,8.82714568805908,"Seattle-Tacoma-Bellevue, WA",West,38,1.13,1.13302102504388,1.11715012330147
"Sacramento--Roseville--Arden-Arcade, CA",West,39, 9.3,10.0360389304075,8.6362201511866,"San Antonio-New Braunfels, TX",South,39,1.12,1.13503643673579,1.11518604537482
"Phoenix-Mesa-Scottsdale, AZ",West,40, 9.3,9.83560133871386,8.7499739069565,"Sacramento--Roseville--Arden-Arcade, CA",West,40,1.12,1.13450725283373,1.1149829052641
"San Antonio-New Braunfels, TX",South,41, 9.2,9.94401847519044,8.53049737870601,"Los Angeles-Long Beach-Anaheim, CA",West,41,1.12,1.12877971146583,1.12045045594114
"Dallas-Fort Worth-Arlington, TX",South,42, 9.0,9.45069817174821,8.5981667273724,"Dallas-Fort Worth-Arlington, TX",South,42,1.12,1.12842146478051,1.11596083274246
