type,sd,beta,r2
pop,NA,0.33 (0.16;0.5),4.7%
mhi,NA,0.54 (-0.57;1.65),0.3%
p_nhblack,10.6%,0.28 (0.09;0.48),3%
p_hispanic,15.6%,-0.11 (-0.31;0.09),0.5%
p_foreignb,6.6%,0.01 (-0.17;0.2),0.1%
p_college,8.1%,0.27 (0.06;0.47),2.7%
p_poverty,4.1%,-0.01 (-0.21;0.2),0.1%
p_noinsur,5.1%,-0.12 (-0.32;0.08),0.7%
p_house_burd,5.3%,-0.1 (-0.29;0.09),0.4%
pct_unemployed,2.3%,-0.19 (-0.39;0.02),1.4%
DI_nhb_nhw,0.1,0.35 (0.14;0.56),4.6%
DI_hisp_nhw,0.09,0.24 (0.06;0.43),2.3%
Northeast,NA,0.27 (-0.41;0.95),NA%
Midwest,NA,1.04 (0.5;1.59),NA%
South,NA,0.41 (-0.17;0.99),5.3%
